date,location,location2,vial,datevial,acclimgroup,species,genus,specacc,locspec,treatment,Ctmax,mass,logmass,Ctmax_corr,locgroup,Lat
7082016,Bodega,BodegaBeach,11,7082016 11,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,29.9,182.3,2.260786669,0.164015359,Bodega 17,38.37
7082016,Bodega,BodegaBeach,7,7082016 7,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,30,429,2.632457292,0.06993007,Bodega 17,38.37
7082016,Bodega,BodegaBeach,2,7082016 2,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,30.4,751.5,2.875928985,0.040452428,Bodega 17,38.37
7082016,Bodega,BodegaBeach,5,7082016 5,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,30.7,465.8,2.668199484,0.065908115,Bodega 17,38.37
7082016,Bodega,BodegaBeach,16,7082016 16,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,31,130.8,2.116607744,0.237003058,Bodega 17,38.37
7082016,Bodega,BodegaBeach,19,7082016 19,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,31.3,15.3,1.184691431,2.045751634,Bodega 17,38.37
7082016,Bodega,BodegaBeach,9,7082016 9,17,O. rosacea,Okenia,O. rosacea 17,Bodega O. rosacea,Bodega O. rosacea 17,32.4,260.1,2.415140352,0.124567474,Bodega 17,38.37
6202016,Bodega,Bodega,6,6202016 6,13,T. catalinae,Triopha,T. catalinae 13,Bodega T. catalinae,Bodega T. catalinae 13,25.1,2544.2,3.405551248,0.009865577,Bodega 13,38.37
6202016,Bodega,Bodega,2,6202016 2,13,T. catalinae,Triopha,T. catalinae 13,Bodega T. catalinae,Bodega T. catalinae 13,24.3,1367.3,3.135863814,0.017772252,Bodega 13,38.37
6202016,Bodega,Bodega,5,6202016 5,13,T. catalinae,Triopha,T. catalinae 13,Bodega T. catalinae,Bodega T. catalinae 13,24.2,1244.2,3.094890197,0.019450249,Bodega 13,38.37
6202016,Bodega,Bodega,4,6202016 4,13,T. catalinae,Triopha,T. catalinae 13,Bodega T. catalinae,Bodega T. catalinae 13,27.1,1020.6,3.008855564,0.026553008,Bodega 13,38.37
6202016,Bodega,Bodega,11,6202016 11,13,T. catalinae,Triopha,T. catalinae 13,Bodega T. catalinae,Bodega T. catalinae 13,26.8,709.5,2.8509524,0.03777308,Bodega 13,38.37
6202016,Bodega,Bodega,6,6202016 6,13,T. maculata,Triopha,T. maculata 13,Bodega T. maculata,Bodega T. maculata 13,30.3,55.6,1.745074792,0.544964029,Bodega 13,38.37
6222016,Bodega,Bodega,5,6222016 5,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,31.9,76.8,1.88536122,0.415364583,Bodega 17,38.37
6222016,Bodega,Bodega,19,6222016 19,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,31.9,244.3,2.387923467,0.130577159,Bodega 17,38.37
6222016,Bodega,Bodega,16,6222016 16,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,29.6,71.5,1.854306042,0.413986014,Bodega 17,38.37
6222016,Bodega,Bodega,2,6222016 2,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,31.9,68.7,1.836956737,0.4643377,Bodega 17,38.37
6222016,Bodega,Bodega,11,6222016 11,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,31.9,58.6,1.767897616,0.544368601,Bodega 17,38.37
6222016,Bodega,Bodega,15,6222016 15,17,T. maculata,Triopha,T. maculata 17,Bodega T. maculata,Bodega T. maculata 17,30.2,52.1,1.716837723,0.579654511,Bodega 17,38.37
,PillarPoint,PillarPoint,5, 5,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,29.2,62.5,1.795880017,0.4672,PillarPoint 17,37.5
,PillarPoint,PillarPoint,12, 12,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,31,289,2.460897843,0.107266436,PillarPoint 17,37.5
,PillarPoint,PillarPoint,9, 9,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,31,267.5,2.427323786,0.11588785,PillarPoint 13,37.5
,PillarPoint,PillarPoint,2, 2,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,31.3,128.4,2.108565024,0.24376947,PillarPoint 17,37.5
,PillarPoint,PillarPoint,3, 3,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,32.2,125.6,2.098989639,0.256369427,PillarPoint 13,37.5
,PillarPoint,PillarPoint,6, 6,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,33.2,107.5,2.031408464,0.308837209,PillarPoint 13,37.5
,PillarPoint,PillarPoint,1, 1,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,33.3,199.8,2.300595484,0.166666667,PillarPoint 17,37.5
,PillarPoint,PillarPoint,10, 10,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,33.7,114.9,2.060320029,0.29329852,PillarPoint 13,37.5
,PillarPoint,PillarPoint,11, 11,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,34.3,138.8,2.142389466,0.247118156,PillarPoint 17,37.5
,PillarPoint,PillarPoint,7, 7,17,O. rosacea,Okenia,O. rosacea 17,PillarPoint O. rosacea,PillarPoint O. rosacea 17,34.9,259.9,2.41480628,0.134282416,PillarPoint 17,37.5
,PillarPoint,PillarPoint,4, 4,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,34.9,191.3,2.28171497,0.182435964,PillarPoint 13,37.5
,PillarPoint,PillarPoint,8, 8,13,O. rosacea,Okenia,O. rosacea 13,PillarPoint O. rosacea,PillarPoint O. rosacea 13,35.1,57.6,1.760422483,0.609375,PillarPoint 13,37.5
5202016,Trinidad,Trinidad,22,5202016 22,17,O. rosacea,Okenia,O. rosacea 17,Trinidad O. rosacea,Trinidad O. rosacea 17,32.4,27.8,1.444044796,1.165467626,Trinidad 17,41.05
5202016,Trinidad,Trinidad,16,5202016 16,17,O. rosacea,Okenia,O. rosacea 17,Trinidad O. rosacea,Trinidad O. rosacea 17,29.2,177.3,2.248708736,0.164692611,Trinidad 17,41.05
5202016,Trinidad,Trinidad,18,5202016 18,17,O. rosacea,Okenia,O. rosacea 17,Trinidad O. rosacea,Trinidad O. rosacea 17,30.3,360.2,2.556543708,0.084119933,Trinidad 17,41.05
5192016,Trinidad,Trinidad,11,5192016 11,13,O. rosacea,Okenia,O. rosacea 13,Trinidad O. rosacea,Trinidad O. rosacea 13,32.2,772,2.8876173,0.041709845,Trinidad 13,41.05
5192016,Trinidad,Trinidad,12,5192016 12,13,O. rosacea,Okenia,O. rosacea 13,Trinidad O. rosacea,Trinidad O. rosacea 13,32.2,541.1,2.733277534,0.059508409,Trinidad 13,41.05
5192016,Trinidad,Trinidad,4,5192016 4,13,O. rosacea,Okenia,O. rosacea 13,Trinidad O. rosacea,Trinidad O. rosacea 13,27,493.7,2.693463127,0.054689082,Trinidad 13,41.05
5192016,Trinidad,Trinidad,2,5192016 2,13,O. rosacea,Okenia,O. rosacea 13,Trinidad O. rosacea,Trinidad O. rosacea 13,31.4,233.1,2.367542274,0.134706135,Trinidad 13,41.05
5192016,Trinidad,Trinidad,22,5192016 22,13,O. rosacea,Okenia,O. rosacea 13,Trinidad O. rosacea,Trinidad O. rosacea 13,32.3,136.4,2.13481437,0.236803519,Trinidad 13,41.05
5192016,Trinidad,Trinidad,14,5192016 14,13,O. rosacea,Okenia,O. rosacea 13,Trinidad O. rosacea,Trinidad O. rosacea 13,28.3,299.3,2.476106717,0.094553959,Trinidad 13,41.05
5192016,Trinidad,Trinidad,18,5192016 18,13,O. rosacea,Okenia,O. rosacea 13,Trinidad O. rosacea,Trinidad O. rosacea 13,31.4,51.7,1.713490543,0.607350097,Trinidad 13,41.05
5192016,Trinidad,Trinidad,1,5192016 1,13,O. rosacea,Okenia,O. rosacea 13,Trinidad O. rosacea,Trinidad O. rosacea 13,32.7,316.8,2.500785173,0.103219697,Trinidad 13,41.05
5192016,Trinidad,Trinidad,16,5192016 16,13,O. rosacea,Okenia,O. rosacea 13,Trinidad O. rosacea,Trinidad O. rosacea 13,32.8,30,1.477121255,1.093333333,Trinidad 13,41.05
6201026,Bodega,Bodega,1,6201026 1,13,O. rosacea,Okenia,O. rosacea 13,Bodega O. rosacea,Bodega O. rosacea 13,33.3,226.3,2.354684554,0.147149801,Bodega 13,38.37
6201026,Bodega,Bodega,14,6201026 14,13,O. rosacea,Okenia,O. rosacea 13,Bodega O. rosacea,Bodega O. rosacea 13,31.2,149.8,2.175511813,0.208277704,Bodega 13,38.37
6201026,Bodega,Bodega,19,6201026 19,13,O. rosacea,Okenia,O. rosacea 13,Bodega O. rosacea,Bodega O. rosacea 13,32.2,280.4,2.447778009,0.114835949,Bodega 13,38.37
6201026,Bodega,Bodega,22,6201026 22,13,O. rosacea,Okenia,O. rosacea 13,Bodega O. rosacea,Bodega O. rosacea 13,31,234.1,2.369401414,0.132422042,Bodega 13,38.37
6201026,FtRoss,FtRoss,16,6201026 16,13,O. rosacea,Okenia,O. rosacea 13,FtRoss O. rosacea,FtRoss O. rosacea 13,31.7,487.7,2.688152756,0.064998975,FtRoss 13,35.18
6201026,FtRoss,FtRoss,9,6201026 9,13,O. rosacea,Okenia,O. rosacea 13,FtRoss O. rosacea,FtRoss O. rosacea 13,33.8,410.4,2.613207352,0.082358674,FtRoss 13,35.18
6201026,FtRoss,FtRoss,15,6201026 15,13,O. rosacea,Okenia,O. rosacea 13,FtRoss O. rosacea,FtRoss O. rosacea 13,32.4,297.9,2.474070503,0.108761329,FtRoss 13,35.18
6201026,FtRoss,FtRoss,12,6201026 12,13,O. rosacea,Okenia,O. rosacea 13,FtRoss O. rosacea,FtRoss O. rosacea 13,32,522.5,2.718086295,0.061244019,FtRoss 13,35.18
6201026,FtRoss,FtRoss,7,6201026 7,13,O. rosacea,Okenia,O. rosacea 13,FtRoss O. rosacea,FtRoss O. rosacea 13,32.5,275.9,2.4407517,0.117796303,FtRoss 13,35.18
6201026,FtRoss,FtRoss,21,6201026 21,13,O. rosacea,Okenia,O. rosacea 13,FtRoss O. rosacea,FtRoss O. rosacea 13,33.6,306.7,2.486713776,0.109553309,FtRoss 13,35.18
,PillarPoint,PillarPoint,18, 18,13,D. albopunctata,Doriopsilla,D. albopunctata 13,PillarPoint D. albopunctata,PillarPoint D. albopunctata 13,22.7,1008.15,3.003525154,0.022516491,PillarPoint 13,37.5
,PillarPoint,PillarPoint,14, 14,17,D. albopunctata,Doriopsilla,D. albopunctata 17,PillarPoint D. albopunctata,PillarPoint D. albopunctata 17,26.9,523.3,2.718750735,0.051404548,PillarPoint 17,37.5
,PillarPoint,PillarPoint,16, 16,13,D. albopunctata,Doriopsilla,D. albopunctata 13,PillarPoint D. albopunctata,PillarPoint D. albopunctata 13,26.9,812.9,2.910037124,0.033091401,PillarPoint 13,37.5
,PillarPoint,PillarPoint,4, 4,13,D. albopunctata,Doriopsilla,D. albopunctata 13,PillarPoint D. albopunctata,PillarPoint D. albopunctata 13,26.9,1418.8,3.15192118,0.018959684,PillarPoint 13,37.5
,PillarPoint,PillarPoint,22, 22,13,D. albopunctata,Doriopsilla,D. albopunctata 13,PillarPoint D. albopunctata,PillarPoint D. albopunctata 13,27,549.8,2.740204736,0.049108767,PillarPoint 13,37.5
,PillarPoint,PillarPoint,2, 2,17,D. albopunctata,Doriopsilla,D. albopunctata 17,PillarPoint D. albopunctata,PillarPoint D. albopunctata 17,27.2,719.6,2.857091155,0.037798777,PillarPoint 17,37.5
,PillarPoint,PillarPoint,1, 1,13,D. albopunctata,Doriopsilla,D. albopunctata 13,PillarPoint D. albopunctata,PillarPoint D. albopunctata 13,27.2,1909.8,3.280987889,0.014242329,PillarPoint 13,37.5
,PillarPoint,PillarPoint,11, 11,17,D. albopunctata,Doriopsilla,D. albopunctata 17,PillarPoint D. albopunctata,PillarPoint D. albopunctata 17,27.8,359.9,2.556181847,0.077243679,PillarPoint 17,37.5
,PillarPoint,PillarPoint,19, 19,13,D. albopunctata,Doriopsilla,D. albopunctata 13,PillarPoint D. albopunctata,PillarPoint D. albopunctata 13,28.1,1416.1,3.151093923,0.019843231,PillarPoint 13,37.5
,PillarPoint,PillarPoint,6, 6,17,D. albopunctata,Doriopsilla,D. albopunctata 17,PillarPoint D. albopunctata,PillarPoint D. albopunctata 17,28.3,567.6,2.754042387,0.049859056,PillarPoint 17,37.5
,PillarPoint,PillarPoint,7, 7,17,D. albopunctata,Doriopsilla,D. albopunctata 17,PillarPoint D. albopunctata,PillarPoint D. albopunctata 17,28.5,1282.7,3.108125095,0.022218757,PillarPoint 17,37.5
,PillarPoint,PillarPoint,12, 12,17,D. albopunctata,Doriopsilla,D. albopunctata 17,PillarPoint D. albopunctata,PillarPoint D. albopunctata 17,28.8,2523.5,3.402003309,0.01141272,PillarPoint 17,37.5
6172016,Avila,Avila,6,6172016 6,13,D. albopunctata,Doriopsilla,D. albopunctata 13,Avila D. albopunctata,Avila D. albopunctata 13,27.5,659.1,2.818951312,0.041723562,Avila 13,35.18
6172016,Avila,Avila,1,6172016 1,13,D. albopunctata,Doriopsilla,D. albopunctata 13,Avila D. albopunctata,Avila D. albopunctata 13,29.1,523.4,2.718833718,0.055598013,Avila 13,35.18
6172016,Avila,Avila,19,6172016 19,13,D. albopunctata,Doriopsilla,D. albopunctata 13,Avila D. albopunctata,Avila D. albopunctata 13,28.4,809.9,2.908431399,0.035066058,Avila 13,35.18
6172016,Avila,Avila,22,6172016 22,13,D. albopunctata,Doriopsilla,D. albopunctata 13,Avila D. albopunctata,Avila D. albopunctata 13,27,1260.2,3.100439475,0.021425171,Avila 13,35.18
6192016,Avila,Avila,4,6192016 4,17,D. albopunctata,Doriopsilla,D. albopunctata 17,Avila D. albopunctata,Avila D. albopunctata 17,31.1,556,2.745074792,0.055935252,Avila 17,35.18
6192016,Avila,Avila,15,6192016 15,17,D. albopunctata,Doriopsilla,D. albopunctata 17,Avila D. albopunctata,Avila D. albopunctata 17,30.9,848.3,2.928549467,0.036425793,Avila 17,35.18
6192016,Avila,Avila,19,6192016 19,17,D. fulva,Doriopsilla,D. fulva 17,Avila D. fulva,Avila D. fulva 17,29.3,1040.6,3.017283822,0.028156833,Avila 17,35.18
6212016,Bodega,Bodega,9,6212016 9,13,D. odhneri,Doris,D. odhneri 13,Bodega D. odhneri,Bodega D. odhneri 13,26,600.1,2.778223627,0.043326112,Bodega 13,38.37
6212016,Bodega,Bodega,2,6212016 2,13,D. odhneri,Doris,D. odhneri 13,Bodega D. odhneri,Bodega D. odhneri 13,25.1,616.4,2.78986263,0.040720311,Bodega 13,38.37
6212016,Bodega,Bodega,1,6212016 1,13,D. odhneri,Doris,D. odhneri 13,Bodega D. odhneri,Bodega D. odhneri 13,25.1,735.6,2.866641721,0.034121805,Bodega 13,38.37
6222016,Bodega,Bodega,4,6222016 4,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,29.6,717.2,2.855640281,0.041271612,Bodega 17,38.37
6222016,Bodega,Bodega,9,6222016 9,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,29.6,1202.7,3.080157311,0.024611291,Bodega 17,38.37
6222016,Bodega,Bodega,1,6222016 1,17,D. fulva,Doriopsilla,D. fulva 17,Bodega D. fulva,Bodega D. fulva 17,29.7,277.3,2.44294987,0.107104219,Bodega 17,38.37
